2015-07-14,Morningside Heights,1638	
2015-07-14,Morris Heights,5	
2015-07-14,Murray Hill,14461	
2015-07-14,Queensboro Hill,2	
2015-07-14,The Rockaways,1	
2015-07-14,Throggs Neck,1	
2015-07-15,Clinton,11715	
2015-07-15,Cobble Hill,204	
2015-07-15,Douglastown-Little Neck,4	
2015-07-15,Eastchester,6	
2015-07-15,Financial District,9691	
2015-07-15,Fort Green,693	
2015-07-15,Greenwich Village,17162	
2015-07-15,Kings Bridge,5	
2015-07-15,Parkchester,6	
2015-07-15,Ridgewood,10	
2015-07-15,Union Port,2	
2015-07-15,Upper East Side,52633	
2015-07-15,West Village,9829	
2015-07-16,Battery Park,4327	
2015-07-16,Carnegie Hill,4244	
2015-07-16,Dyker Heights,4	
2015-07-16,East Village,11835	
2015-07-16,Greenwood,43	
2015-07-16,Mapleton-Flatlands,30	
2015-07-16,Mott Haven,72	
2015-07-16,Soho,8222	
2015-07-16,Todt Hill,1	
2015-07-16,Tribeca,7136	
2015-07-16,Whitestone,495	
2015-07-16,Williams Bridge,5	
2015-07-17,Canarsie,5	
2015-07-17,Country Club,3	
2015-07-17,Gramercy,29597	
2015-07-17,Greenwood,37	
2015-07-17,Hamilton Heights,775	
2015-07-17,Jamaica,144	
2015-07-17,Morris Park,3	
2015-07-17,Park Slope,374	
2015-07-17,Port Richmond,1	
2015-07-17,Richmondtown,1	
2015-07-17,Steinway,5484	
2015-07-17,University Heights,5	
2015-07-17,Woodside,282	
2015-07-18,Carroll Gardens,608	
2015-07-18,Flushing,65	
2015-07-18,Forest Hills,177	
2015-07-18,Lower East Side,13803	
2015-07-18,Middle Village,11	
2015-07-18,Morris Park,10	
2015-07-18,Queensboro Hill,23	
2015-07-18,Rosedale,8061	
2015-07-18,South Bronx,51	
2015-07-19,Borough Park,5	
2015-07-19,Central Park,4954	
2015-07-19,Chinatown,1816	
2015-07-19,Downtown,831	
2015-07-19,Flatbush,1	
2015-07-19,Garment District,26073	
2015-07-19,Maspeth,33	
