,count,PRCP,SNWD,SNOW,TMAX,TMIN,holiday
2014-06-19,487104.0,0.15,0.0,0.0,77.0,68.0,0.0
2014-06-20,485548.0,0.0,0.0,0.0,79.0,64.0,0.0
2014-06-21,473409.0,0.0,0.0,0.0,78.0,62.0,0.0
2014-06-22,430757.0,0.0,0.0,0.0,79.0,64.0,0.0
2014-06-23,413205.0,0.0,0.0,0.0,81.0,65.0,0.0
2014-06-24,441878.0,0.0,0.0,0.0,81.0,68.0,0.0
2014-06-25,468089.0,0.08,0.0,0.0,85.0,70.0,0.0
2014-06-26,486884.0,0.07,0.0,0.0,85.0,70.0,0.0
2014-06-27,474158.0,0.0,0.0,0.0,83.0,67.0,0.0
2014-06-28,472015.0,0.0,0.0,0.0,87.0,66.0,0.0
2014-06-29,402696.0,0.0,0.0,0.0,83.0,68.0,0.0
2014-06-30,409501.0,0.0,0.0,0.0,84.0,69.0,0.0
2014-07-01,445743.0,0.0,0.0,0.0,89.0,72.0,0.0
2014-07-02,439423.0,0.96,0.0,0.0,91.0,72.0,0.0
2014-07-03,417460.0,1.78,0.0,0.0,87.0,69.0,0.0
2014-07-04,309652.0,0.14,0.0,0.0,74.0,65.0,1.0
2014-07-05,308304.0,0.0,0.0,0.0,81.0,63.0,0.0
2014-07-06,313544.0,0.0,0.0,0.0,84.0,66.0,0.0
2014-07-07,378451.0,0.04,0.0,0.0,90.0,72.0,0.0
2014-07-08,434856.0,0.39,0.0,0.0,91.0,71.0,0.0
2014-07-09,448579.0,0.09,0.0,0.0,88.0,71.0,0.0
2014-07-10,456003.0,0.0,0.0,0.0,83.0,72.0,0.0
2014-07-11,458597.0,0.0,0.0,0.0,86.0,71.0,0.0
2014-07-12,447090.0,0.0,0.0,0.0,85.0,71.0,0.0
2014-07-13,410483.0,0.03,0.0,0.0,83.0,72.0,0.0
2014-07-14,416403.0,0.46,0.0,0.0,84.0,72.0,0.0
2014-07-15,436616.0,1.3,0.0,0.0,86.0,72.0,0.0
2014-07-16,449192.0,0.0,0.0,0.0,81.0,68.0,0.0
2014-07-17,457123.0,0.0,0.0,0.0,81.0,67.0,0.0
2014-07-18,460247.0,0.0,0.0,0.0,81.0,64.0,0.0
2014-07-19,445222.0,0.0,0.0,0.0,76.0,68.0,0.0
2014-07-20,398703.0,0.0,0.0,0.0,80.0,66.0,0.0
2014-07-21,399110.0,0.0,0.0,0.0,85.0,67.0,0.0
2014-07-22,447126.0,0.0,0.0,0.0,86.0,71.0,0.0
2014-07-23,466725.0,0.19,0.0,0.0,88.0,72.0,0.0
2014-07-24,461698.0,0.0,0.0,0.0,80.0,70.0,0.0
2014-07-25,461493.0,0.0,0.0,0.0,82.0,66.0,0.0
2014-07-26,448388.0,0.0,0.0,0.0,81.0,69.0,0.0
2014-07-27,403948.0,0.02,0.0,0.0,85.0,71.0,0.0
2014-07-28,368733.0,0.19,0.0,0.0,82.0,68.0,0.0
2014-07-29,422448.0,0.0,0.0,0.0,76.0,64.0,0.0
2014-07-30,441490.0,0.0,0.0,0.0,80.0,63.0,0.0
2014-07-31,453515.0,0.0,0.0,0.0,82.0,68.0,0.0
2014-08-01,453428.0,0.0,0.0,0.0,84.0,71.0,0.0
2014-08-02,440096.0,0.41,0.0,0.0,74.0,63.0,0.0
2014-08-03,397765.0,0.07,0.0,0.0,76.0,66.0,0.0
2014-08-04,392871.0,0.0,0.0,0.0,84.0,70.0,0.0
2014-08-05,422243.0,0.0,0.0,0.0,90.0,71.0,0.0
2014-08-06,439508.0,0.0,0.0,0.0,83.0,70.0,0.0
2014-08-07,446629.0,0.0,0.0,0.0,83.0,66.0,0.0
2014-08-08,445799.0,0.0,0.0,0.0,83.0,65.0,0.0
2014-08-09,420314.0,0.0,0.0,0.0,87.0,66.0,0.0
2014-08-10,372124.0,0.0,0.0,0.0,88.0,68.0,0.0
2014-08-11,377494.0,0.0,0.0,0.0,87.0,71.0,0.0
2014-08-12,413297.0,0.19,0.0,0.0,79.0,70.0,0.0
2014-08-13,434391.0,0.53,0.0,0.0,82.0,68.0,0.0
2014-08-14,439289.0,0.0,0.0,0.0,77.0,63.0,0.0
2014-08-15,444148.0,0.0,0.0,0.0,73.0,61.0,0.0
2014-08-16,419353.0,0.0,0.0,0.0,78.0,63.0,0.0
2014-08-17,380140.0,0.01,0.0,0.0,82.0,66.0,0.0
2014-08-18,376662.0,0.0,0.0,0.0,81.0,63.0,0.0
2014-08-19,405997.0,0.0,0.0,0.0,83.0,63.0,0.0
2014-08-20,422389.0,0.0,0.0,0.0,84.0,70.0,0.0
2014-08-21,441620.0,0.35,0.0,0.0,83.0,65.0,0.0
2014-08-22,419858.0,0.06,0.0,0.0,79.0,65.0,0.0
2014-08-23,402490.0,0.01,0.0,0.0,77.0,67.0,0.0
2014-08-24,364236.0,0.0,0.0,0.0,80.0,64.0,0.0
2014-08-25,357998.0,0.0,0.0,0.0,88.0,64.0,0.0
2014-08-26,389266.0,0.0,0.0,0.0,89.0,70.0,0.0
2014-08-27,415610.0,0.0,0.0,0.0,90.0,70.0,0.0
2014-08-28,414649.0,0.0,0.0,0.0,82.0,66.0,0.0
2014-08-29,410496.0,0.0,0.0,0.0,80.0,61.0,0.0
2014-08-30,376328.0,0.0,0.0,0.0,80.0,65.0,0.0
2014-08-31,352389.0,0.62,0.0,0.0,90.0,73.0,0.0
2014-09-01,319157.0,0.0,0.0,0.0,88.0,75.0,1.0
2014-09-02,408333.0,0.0,0.0,0.0,92.0,77.0,0.0
2014-09-03,441040.0,0.0,0.0,0.0,86.0,72.0,0.0
2014-09-04,469500.0,0.0,0.0,0.0,87.0,69.0,0.0
2014-09-05,496714.0,0.0,0.0,0.0,87.0,72.0,0.0
2014-09-06,503100.0,0.11,0.0,0.0,91.0,67.0,0.0
2014-09-07,445959.0,0.0,0.0,0.0,81.0,65.0,0.0
2014-09-08,430611.0,0.0,0.0,0.0,75.0,65.0,0.0
2014-09-09,450763.0,0.0,0.0,0.0,73.0,63.0,0.0
2014-09-10,466592.0,0.0,0.0,0.0,80.0,63.0,0.0
2014-09-11,478607.0,0.0,0.0,0.0,83.0,69.0,0.0
2014-09-12,486929.0,0.0,0.0,0.0,78.0,62.0,0.0
2014-09-13,513501.0,0.26,0.0,0.0,69.0,58.0,0.0
2014-09-14,450849.0,0.0,0.0,0.0,71.0,53.0,0.0
2014-09-15,421980.0,0.0,0.0,0.0,71.0,55.0,0.0
2014-09-16,447618.0,0.37,0.0,0.0,70.0,58.0,0.0
2014-09-17,451216.0,0.0,0.0,0.0,73.0,55.0,0.0
2014-09-18,464358.0,0.0,0.0,0.0,76.0,57.0,0.0
2014-09-19,488834.0,0.0,0.0,0.0,66.0,54.0,0.0
2014-09-20,492576.0,0.0,0.0,0.0,75.0,57.0,0.0
2014-09-21,402953.0,0.15,0.0,0.0,75.0,67.0,0.0
2014-09-22,393656.0,0.0,0.0,0.0,71.0,55.0,0.0
2014-09-23,401123.0,0.0,0.0,0.0,71.0,52.0,0.0
2014-09-24,416770.0,0.0,0.0,0.0,71.0,58.0,0.0
2014-09-25,426440.0,0.32,0.0,0.0,64.0,57.0,0.0
2014-09-26,448361.0,0.0,0.0,0.0,77.0,58.0,0.0
2014-09-27,486921.0,0.0,0.0,0.0,83.0,60.0,0.0
2014-09-28,433820.0,0.0,0.0,0.0,84.0,64.0,0.0
2014-09-29,400318.0,0.0,0.0,0.0,79.0,67.0,0.0
2014-09-30,435417.0,0.0,0.0,0.0,71.0,62.0,0.0
2014-10-01,458010.0,0.02,0.0,0.0,65.0,61.0,0.0
2014-10-02,467301.0,0.0,0.0,0.0,70.0,61.0,0.0
2014-10-03,485297.0,0.0,0.0,0.0,71.0,56.0,0.0
2014-10-04,467371.0,1.18,0.0,0.0,69.0,52.0,0.0
2014-10-05,416216.0,0.0,0.0,0.0,61.0,46.0,0.0
2014-10-06,409584.0,0.0,0.0,0.0,69.0,50.0,0.0
2014-10-07,436891.0,0.06,0.0,0.0,71.0,63.0,0.0
2014-10-08,456070.0,0.04,0.0,0.0,73.0,62.0,0.0
2014-10-09,477361.0,0.0,0.0,0.0,68.0,55.0,0.0
2014-10-10,489982.0,0.0,0.0,0.0,64.0,52.0,0.0
2014-10-11,509530.0,0.33,0.0,0.0,60.0,50.0,0.0
2014-10-12,437673.0,0.0,0.0,0.0,63.0,48.0,0.0
2014-10-13,389171.0,0.05,0.0,0.0,65.0,52.0,1.0
2014-10-14,431529.0,0.0,0.0,0.0,76.0,63.0,0.0
2014-10-15,456636.0,0.69,0.0,0.0,77.0,69.0,0.0
2014-10-16,481635.0,1.11,0.0,0.0,71.0,61.0,0.0
2014-10-17,492494.0,0.0,0.0,0.0,71.0,59.0,0.0
2014-10-18,513702.0,0.0,0.0,0.0,70.0,56.0,0.0
2014-10-19,461858.0,0.0,0.0,0.0,56.0,44.0,0.0
2014-10-20,416422.0,0.0,0.0,0.0,60.0,42.0,0.0
2014-10-21,445571.0,0.11,0.0,0.0,67.0,55.0,0.0
2014-10-22,461722.0,1.51,0.0,0.0,58.0,50.0,0.0
2014-10-23,471818.0,0.61,0.0,0.0,53.0,50.0,0.0
2014-10-24,492064.0,0.0,0.0,0.0,63.0,51.0,0.0
2014-10-25,500873.0,0.01,0.0,0.0,67.0,50.0,0.0
2014-10-26,441193.0,0.0,0.0,0.0,63.0,53.0,0.0
2014-10-27,411856.0,0.0,0.0,0.0,63.0,48.0,0.0
2014-10-28,434802.0,0.0,0.0,0.0,72.0,53.0,0.0
2014-10-29,454041.0,0.0,0.0,0.0,72.0,51.0,0.0
2014-10-30,469494.0,0.0,0.0,0.0,59.0,47.0,0.0
2014-10-31,494320.0,0.05,0.0,0.0,55.0,45.0,0.0
2014-11-01,561404.0,0.35,0.0,0.0,47.0,42.0,0.0
2014-11-02,435721.0,0.0,0.0,0.0,48.0,41.0,0.0
2014-11-03,412503.0,0.0,0.0,0.0,61.0,39.0,0.0
2014-11-04,424682.0,0.0,0.0,0.0,68.0,53.0,0.0
2014-11-05,449110.0,0.0,0.0,0.0,64.0,56.0,0.0
2014-11-06,470232.0,0.37,0.0,0.0,57.0,48.0,0.0
2014-11-07,486697.0,0.0,0.0,0.0,53.0,40.0,0.0
2014-11-08,515675.0,0.0,0.0,0.0,48.0,36.0,0.0
2014-11-09,445908.0,0.0,0.0,0.0,57.0,46.0,0.0
2014-11-10,407197.0,0.0,0.0,0.0,61.0,44.0,0.0
2014-11-11,402435.0,0.0,0.0,0.0,64.0,49.0,1.0
2014-11-12,444745.0,0.0,0.0,0.0,65.0,47.0,0.0
2014-11-13,464077.0,0.2,0.0,0.0,48.0,36.0,0.0
2014-11-14,491482.0,0.06,0.0,0.0,42.0,35.0,0.0
2014-11-15,508043.0,0.0,0.0,0.0,42.0,33.0,0.0
2014-11-16,442084.0,0.03,0.0,0.0,45.0,35.0,0.0
2014-11-17,402189.0,1.54,0.0,0.0,52.0,40.0,0.0
2014-11-18,456387.0,0.0,0.0,0.0,45.0,24.0,0.0
2014-11-19,458644.0,0.0,0.0,0.0,36.0,22.0,0.0
2014-11-20,458620.0,0.0,0.0,0.0,45.0,31.0,0.0
2014-11-21,495376.0,0.0,0.0,0.0,37.0,28.0,0.0
2014-11-22,516116.0,0.0,0.0,0.0,44.0,28.0,0.0
2014-11-23,425989.0,0.0,0.0,0.0,57.0,43.0,0.0
2014-11-24,398633.0,0.7,0.0,0.0,69.0,53.0,0.0
2014-11-25,409243.0,0.0,0.0,0.0,68.0,51.0,0.0
2014-11-26,425449.0,1.24,0.0,0.2,51.0,34.0,0.0
2014-11-27,296309.0,0.02,0.0,0.0,38.0,34.0,1.0
2014-11-28,347711.0,0.0,0.0,0.0,37.0,29.0,0.0
2014-11-29,395378.0,0.0,0.0,0.0,45.0,27.0,0.0
2014-11-30,370177.0,0.0,0.0,0.0,55.0,45.0,0.0
2014-12-01,399044.0,0.09,0.0,0.0,65.0,42.0,0.0
2014-12-02,440620.0,0.08,0.0,0.0,43.0,35.0,0.0
2014-12-03,438432.0,0.06,0.0,0.0,46.0,41.0,0.0
2014-12-04,458616.0,0.0,0.0,0.0,45.0,37.0,0.0
2014-12-05,496034.0,0.51,0.0,0.0,44.0,34.0,0.0
2014-12-06,508899.0,1.22,0.0,0.0,50.0,39.0,0.0
2014-12-07,460972.0,0.04,0.0,0.0,42.0,30.0,0.0
2014-12-08,431042.0,0.0,0.0,0.0,37.0,24.0,0.0
2014-12-09,437220.0,2.54,0.0,0.0,42.0,36.0,0.0
2014-12-10,447350.0,0.08,0.0,1.0,40.0,32.0,0.0
2014-12-11,469687.0,0.01,1.2,0.0,38.0,31.0,0.0
2014-12-12,497272.0,0.0,0.0,0.0,38.0,32.0,0.0
2014-12-13,501276.0,0.0,0.0,0.0,44.0,34.0,0.0
2014-12-14,441365.0,0.0,0.0,0.0,46.0,38.0,0.0
2014-12-15,410459.0,0.0,0.0,0.0,48.0,37.0,0.0
2014-12-16,439779.0,0.2,0.0,0.0,49.0,38.0,0.0
2014-12-17,456564.0,0.02,0.0,0.0,54.0,42.0,0.0
2014-12-18,482660.0,0.0,0.0,0.0,42.0,37.0,0.0
2014-12-19,509016.0,0.0,0.0,0.0,38.0,31.0,0.0
2014-12-20,494266.0,0.0,0.0,0.0,33.0,30.0,0.0
2014-12-21,419889.0,0.0,0.0,0.0,36.0,31.0,0.0
2014-12-22,382112.0,0.04,0.0,0.0,44.0,35.0,0.0
2014-12-23,384346.0,0.16,0.0,0.0,46.0,43.0,0.0
2014-12-24,348267.0,0.8,0.0,0.0,58.0,44.0,0.0
2014-12-25,210250.0,0.09,0.0,0.0,62.0,44.0,1.0
2014-12-26,278667.0,0.0,0.0,0.0,50.0,40.0,0.0
2014-12-27,323696.0,0.0,0.0,0.0,55.0,44.0,0.0
2014-12-28,323916.0,0.1,0.0,0.0,54.0,43.0,0.0
2014-12-29,339450.0,0.0,0.0,0.0,44.0,34.0,0.0
2014-12-30,377702.0,0.0,0.0,0.0,34.0,28.0,0.0
2014-12-31,405293.0,0.0,0.0,0.0,32.0,27.0,0.0
2015-01-01,382014.0,0.0,0.0,0.0,39.0,27.0,1.0
2015-01-02,345296.0,0.0,0.0,0.0,42.0,35.0,0.0
2015-01-03,406769.0,0.71,0.0,0.0,42.0,33.0,0.0
2015-01-04,328848.0,0.3,0.0,0.0,56.0,41.0,0.0
2015-01-05,363454.0,0.0,0.0,0.0,49.0,21.0,0.0
2015-01-06,384324.0,0.05,0.0,1.0,22.0,19.0,0.0
2015-01-07,429653.0,0.0,1.2,0.0,23.0,9.0,0.0
2015-01-08,450920.0,0.0,0.0,0.0,21.0,8.0,0.0
2015-01-09,447947.0,0.07,0.0,1.5,33.0,19.0,0.0
2015-01-10,515540.0,0.0,1.2,0.0,23.0,16.0,0.0
2015-01-11,419629.0,0.0,1.2,0.0,37.0,18.0,0.0
2015-01-12,396367.0,0.36,0.0,0.0,39.0,35.0,0.0
2015-01-13,448517.0,0.0,0.0,0.0,36.0,17.0,0.0
2015-01-14,442656.0,0.0,0.0,0.0,32.0,16.0,0.0
2015-01-15,451186.0,0.0,0.0,0.0,35.0,25.0,0.0
2015-01-16,478124.0,0.0,0.0,0.0,43.0,20.0,0.0
2015-01-17,476827.0,0.0,0.0,0.0,32.0,17.0,0.0
2015-01-18,427042.0,2.1,0.0,0.0,42.0,31.0,0.0
2015-01-19,342795.0,0.0,0.0,0.0,42.0,36.0,1.0
2015-01-20,405581.0,0.0,0.0,0.0,40.0,32.0,0.0
2015-01-21,431486.0,0.0,0.0,0.0,36.0,25.0,0.0
